payer_name,bucket,specification
BCBS,Commercial,Blue Cross Blue Shield
BCBS BSL,Commercial,Blue Cross Blue Shield
BCBS HMO,Commercial,Blue Cross Blue Shield
BCBS MBN,Commercial,Blue Cross Blue Shield
BCBS MEDICARE SUPPLEMENT [100277],Government,Medicare
BCBS MEDICARE [250503],Government,Medicare
BCBS MEDICARE [450127],Government,Medicare
BCBS NWB,Commercial,Blue Cross Blue Shield
BCBS PHS,Commercial,Blue Cross Blue Shield
BCBS PPO,Commercial,Blue Cross Blue Shield
BCBS SBN,Commercial,Blue Cross Blue Shield
BCBS [200002],Commercial,Blue Cross Blue Shield
BCBS [210001],Commercial,Blue Cross Blue Shield
BCCEDP [500011],Commercial,Blue Cross Blue Shield
BEACON HEALTH OPTIONS [100278],Commercial,Beacon
BENEFIT ADMINISTRATIVE SYSTEMS [100294],Unknown,Unknown
BLUE,Commercial,Blue Cross Blue Shield
BLUE CROSS,Commercial,Blue Cross Blue Shield
BLUE CROSS ALIGNMENT,Commercial,Blue Cross Blue Shield
BLUE CROSS BLUE SHIELD,Commercial,Blue Cross Blue Shield
BLUE CROSS BSL,Commercial,Blue Cross Blue Shield
BLUE CROSS HMO,Commercial,Blue Cross Blue Shield
BLUE CROSS MBN,Commercial,Blue Cross Blue Shield
BLUE CROSS NWB,Commercial,Blue Cross Blue Shield
BLUE CROSS PHS,Commercial,Blue Cross Blue Shield
BLUE CROSS PPO,Commercial,Blue Cross Blue Shield
BLUE CROSS SBN,Commercial,Blue Cross Blue Shield
BLUE MCR REPLACEMENT,Government,Medicare
BMC EMPLOYEE HEALTH [700057],Commercial,Other Commercial
BMFL NEIGHBORHOOD HEALTH PARTNERSHIP 20201115,Commercial,Other Commercial
BRIGHT HEALTH,Commercial,Bright
BRIGHT HEALTH EX,Commercial,Bright
BRIGHT HEALTH [100283],Commercial,Bright
BRIGHTON HEALTH PLAN [100325],Commercial,Brighton
BRISTOL WEST AUTO [750011],Commercial,Bristol
BayCare,Commercial,Baycare
Baycare,Commercial,Baycare
Beacon,Commercial,Beacon
Beech Street,Commercial,Beech Street
Beech Street Supplemental Network,Commercial,Beech Street
Beechstreet,Commercial,Beech Street
Behavioral Services Network,Unknown,Unknown
Blue,Commercial,Blue Cross Blue Shield
Blue Cross,Commercial,Blue Cross Blue Shield
Blue Cross Blue Select,Commercial,Blue Cross Blue Shield
Blue Cross Blue Shield,Commercial,Blue Cross Blue Shield
Blue Cross Blue Shield of Florida,Commercial,Blue Cross Blue Shield
Blue Cross Blue Shield of Florida (Florida Blue),Commercial,Blue Cross Blue Shield
Blue Cross Health Options/Blue Care,Commercial,Blue Cross Blue Shield
Blue Cross Medicare Select Advantage,Commercial,Blue Cross Blue Shield
Blue Cross MyBlue,Commercial,Blue Cross Blue Shield
Blue Cross Network Blue/Blue Options,Commercial,Blue Cross Blue Shield
Blue Cross Oncology,Commercial,Blue Cross Blue Shield
