payer_name,bucket,specification
Humana Gold,Commercial,Humana
HUMANA GOLD [250508],Commercial,Humana
HUMANA GOLD CHOICE MCR REPLACEMENT,Commercial,Humana
HUMANA HMO,Commercial,Humana
HUMANA HMO CARDIOLOGY MCR REPLACEMENT,Commercial,Humana
HUMANA HMO MCR REPLACEMENT,Government,Medicare
HUMANA MCD,Government,Medicaid
HUMANA MEDICAID [450113],Government,Medicaid
HUMANA MEDICAID HMO [250318],Government,Medicaid
HUMANA MEDICARE [450128],Government,Medicare
Humana of FL,Commercial,Humana
HUMANA PPO,Commercial,Humana
HUMANA PPO MCR REPLACEMENT,Government,Medicare
Humana/Choice Care,Commercial,Humana
IAC LIFE [100366],Commercial,IAC
Ilumed,Commercial,Ilumed
ilumed,Commercial,Ilumed
ima,Commercial,Independent
imagine,Commercial,Other Commercial
IMAGINE360  [100297],Commercial,Imagine360
independent,Commercial,Other Commercial
INDEPENDENT HEALTH [100358],Commercial,Independent
ingle,Commercial,Other Commercial
INMATE HEALTH CARE,Government,Other Government
Innovative Healthcare,Commercial,Innovative
INTEGRA ADMINISTRATIVE GROUP (AKA INNOVATIVE),Commercial,Innovative
Integral,Commercial,Integral
integral,Commercial,Other Commercial
integrated,Commercial,Other Commercial
INTEGRATED BEHAVIORAL HEALTH [100286],Commercial,Integrated Behavioral Health
Intergrated,Commercial,Integrated Behavioral Health
Interlink,Commercial,Interlink
INTERNATIONAL,Commercial,International
INTERNATIONAL TRAVELERS INSURANCE [110000],Commercial,International
interplan,Commercial,Interplan
interplan_health_group,Commercial,Interplan
JACKSONVILLE JAGUARS [500023],Government,Other Government
JACKSONVILLE SHERIFF'S OFFICE [500026],Government,Other Government
jipa,Commercial,Other Commercial
KAISER PERMANENTE [100299],Commercial,Kaiser
KEMPER HEALTH [100367],Commercial,Kemper
keys,Commercial,Other Commercial
kindred,Commercial,Kindred
LEE HEALTH CARE PARTNERS [250255],Commercial,Lee Health Care
leon,Commercial,Leon
LEON MEDICAL,Commercial,Leon
LIBERTY HEALTHSHARE [100349],Commercial,Liberty
LIBERTY MUTUAL [750014],Commercial,Liberty
life,Commercial,Other Commercial
LIFE TRAC TRANSPLANT,Commercial,Life Trac
lifepath,Commercial,Other Commercial
lifetrac,Commercial,Other Commercial
liga,Commercial,Liga
lighthouse,Commercial,Lighthouse
LIMITED BENEFIT GROUP SUPPLEMENTAL [100359],Commercial,Limited Benefit Grou
LINE CONSTRUCTION BENEFIT FUND [100381],Commercial,Line Construction
Longevity,Commercial,Longevity
longevity,Commercial,Longevity
LONGEVITY HEALTH PLAN [450140],Commercial,Longevity
longevity_health_plan,Commercial,Longevity
LUCENT  [100384],Commercial,Lucent
LUCENT HEALTH [100300],Commercial,Lucent
Lucet,Commercial,Lucent
lucet,Commercial,Lucet
lucet_,Commercial,Lucet
LUMICO LIFE INSURANCE [100390],Commercial,Lumico
LUMINARE HEALTH [100389],Commercial,Luminare
Magellan,Commercial,Magellan
magellan,Commercial,Magellan
MAGELLAN MEDICAID [450114],Government,Medicaid
MAGNACARE [100317],Commercial,Magnacare
mailhandlers,Government,Other Government
MANHATTAN LIFE INSURANCE COMPANY [100360],Commercial,Manhattan Life Insurance
marion,Commercial,Marion
maritime,Commercial,Other Commercial
MARPAI HEALTH [100371],Commercial,Marpai
MBA TPA [100301],Commercial,Third Party Administrator
MCS CLASSICARE [450147],Commercial,Classicare
md,Government,Medicaid
MED MUTUAL PROTECT [100380],Commercial,Medical Mutual
MedCare International,Commercial,MedCare
medica,Commercial,TPA
MEDICA [100302],Commercial,Medica
MEDICA HEALTH PLAN,Commercial,Medica
Medica Healthcare,Commercial,Medica
MEDICAID,Government,Medicaid
medicaid,Government,Medicaid
MEDICAID OF FLORIDA [300001],Government,Medicaid
MEDICAID OF FLORIDA ALTERNATE PAYOR [300004],Government,Medicaid
MEDICAID OF GEORGIA [300002],Government,Medicaid
MEDICAID OUT OF STATE [309999],Government,Medicaid
MEDICAL MUTUAL OF OHIO [100114],Commercial,Medical Mutual
MEDICARE,Government,Medicare
medicare,Government,Medicare
MEDICARE [400001],Government,Medicare
MEDICARE ADVANTAGE,Government,Medicare
MEDICARE ALTERNATE PAYOR [888],Government,Medicare
MEDICARE MANAGED CARE,Government,Medicare
MEDICARE OTHER (NO SEQ),Government,Medicare
MEDICARE REPLACEMENT,Government,Medicare
MEDIPLUS [100265],Commercial,Mediplus
MEDI-SHARE [100303],Commercial,Medishare
medrisk,Commercial,Medrisk
mental,Commercial,Other Commercial
meritain,Commercial,Meritain
MERITAIN [100063],Commercial,Meritain
metracomp,Commercial,Metracomp
miscellaneous,Unknown,Unknown
MISCELLANEOUS AUTO/TPL [759999],Commercial,Other Commercial
MISCELLANEOUS COMMERCIAL [109999],Commercial,Other Commercial
MISCELLANEOUS CORRECTIONAL FACILITY [509998],Commercial,Other Commercial
MISCELLANEOUS HOSPICE [510000],Commercial,Other Commercial
MISCELLANEOUS MEDICAID REPLACEMENT [359999],Government,Medicaid
MISCELLANEOUS MEDICARE REPLACEMENT [459999],Government,Medicare
MISCELLANEOUS OTHER [509999],Unknown,Unknown
MISCELLANEOUS SNF [510001],Commercial,Other Commercial
MISCELLANEOUS WORKERS' COMP [709999],Government,Worker's Comp
mmm,Unknown,Unknown
MODA MEDICARE SUPPLEMENT [100376],Government,Medicare
MOLINA,Commercial,Molina
Molina,Commercial,Molina
molina,Commercial,Molina
MOLINA [100271],Commercial,Molina
Molina Complete Care,Commercial,Molina
MOLINA EXCHANGE,Commercial,Molina
Molina Healthcare,Commercial,Molina
molina healthcare,Commercial,Molina
MOLINA HEALTHCARE [250307],Commercial,Molina
Molina Healthcare of FL,Commercial,Molina
MOLINA MCR REPLACEMENT,Commercial,Molina
MOLINA MEDICAID,Government,Medicaid
MOLINA MEDICAID [450118],Government,Medicaid
Molina Oncology,Commercial,Molina
monroe,Commercial,Monroe
mount,Commercial,Mount
msmc,Unknown,Unknown
MULTIPLAN,Commercial,Multiplan
Multiplan,Commercial,Multiplan
multiplan,Commercial,Multiplan
MULTIPLAN [100258],Commercial,Multiplan
MultiPlan/PHCS,Commercial,Multiplan
MULTIPLAN/PRO AMER [250223],Commercial,Multiplan
mutual,Commercial,Medical Mutual
MUTUAL OF OMAHA [100304],Commercial,Medical Mutual
naphcare,Commercial,Naphcare
